SKU,Product Name,Description,Price,Category,Stock,Image URL
KEYBOARD001,Logitech MX Keys,"Wireless illuminated keyboard, multi-device, USB-C rechargeable, quiet typing. Graphite.",599,Computer Accessories,40,https://images.unsplash.com/photo-1587829741301-dc798b83add3
MOUSE001,Logitech MX Master 3S,"Wireless mouse, 8K DPI sensor, quiet clicks, USB-C charging. Graphite.",499,Computer Accessories,48,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46
WEBCAM001,Logitech Brio 4K,"4K Ultra HD webcam, auto light correction, 5x digital zoom, dual microphones.",899,Computer Accessories,32,https://images.unsplash.com/photo-1632072400819-e14bb3d4e040
PRINTER001,HP LaserJet Pro M404dn,"Monochrome laser printer, 38ppm, duplex printing, Ethernet. Business class.",1599,Computer Accessories,12,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
PRINTER002,Epson EcoTank L3250,"All-in-one inkjet with refillable tanks, print/scan/copy, Wi-Fi. Low cost per page.",799,Computer Accessories,22,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
COOKER001,Philips Rice Cooker 1.8L,"Fuzzy logic, 12 cooking modes, keep warm function, non-stick pot. White.",299,Home Appliances,50,https://images.unsplash.com/photo-1588013273468-315fd88ea34c
COOKER002,Tefal Multi Cooker 6L,"45-in-1 functions, pressure cooker, slow cooker, rice cooker. Intelligent cooking.",699,Home Appliances,28,https://images.unsplash.com/photo-1585515320310-259814833e62
MICRO001,Sharp Microwave Oven 25L,"1000W power, 11 auto menus, grill function, child lock. Silver.",399,Home Appliances,35,https://images.unsplash.com/photo-1585515320310-259814833e62
VACUUM001,Dyson V12 Detect Slim,"Cordless vacuum, laser detection, 60min runtime, HEPA filtration. Gold.",3299,Home Appliances,8,https://images.unsplash.com/photo-1558317374-067fb5f30001
VACUUM002,Xiaomi Robot Vacuum S10,"Smart mapping, 4000Pa suction, auto-empty station, mop function. White.",1899,Home Appliances,15,https://images.unsplash.com/photo-1567538096630-e0c55bd6374c
ROUTER001,TP-Link Archer AX73,"Wi-Fi 6 router, AX5400 speed, 6 antennas, OneMesh compatible. Black.",599,Computer Accessories,30,https://images.unsplash.com/photo-1606904825846-647eb07f5be2
ROUTER002,ASUS RT-AX86U,"Gaming router, Wi-Fi 6, 5700Mbps, AiMesh support, RGB lighting. Black.",1299,Computer Accessories,18,https://images.unsplash.com/photo-1606904825846-647eb07f5be2
EARBUDS001,Samsung Galaxy Buds2 Pro,"Active noise cancellation, 360 audio, IPX7 waterproof, wireless charging. Graphite.",899,Audio & Entertainment,42,https://images.unsplash.com/photo-1590658268037-6bf12165a8df
EARBUDS002,Nothing Ear (2),"ANC earbuds, 40dB noise cancellation, dual connection, wireless charging. White.",599,Audio & Entertainment,50,https://images.unsplash.com/photo-1590658268037-6bf12165a8df
SMARTWATCH001,Apple Watch Series 9,"GPS + Cellular, 45mm, always-on display, health tracking. Midnight Aluminum.",2199,Wearables,25,https://images.unsplash.com/photo-1579586337278-3befd40fd17a
SMARTWATCH002,Samsung Galaxy Watch 6,"1.5-inch AMOLED, health sensors, 40+ workout modes, 40mm. Silver.",1299,Wearables,30,https://images.unsplash.com/photo-1579586337278-3befd40fd17a
CHARGER001,Anker PowerPort III 65W,"3-port USB-C charger, GaN technology, foldable plug, PowerIQ 3.0. Black.",149,Mobile Accessories,80,https://images.unsplash.com/photo-1583394838336-acd977736f90
POWERBANK001,Xiaomi Power Bank 20000mAh,"Fast charging, USB-C + USB-A ports, LED display, portable. Black.",149,Mobile Accessories,95,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5
CABLE001,Anker USB-C to Lightning 2m,"MFi certified, fast charging, braided nylon, 10000+ bend lifespan. White.",89,Mobile Accessories,120,https://images.unsplash.com/photo-1585776245991-cf89dd7fc73a
STAND001,Twelve South BookArc,"MacBook stand, space-saving, cable management, eco-friendly materials. Silver.",199,Computer Accessories,25,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46
HUB001,Anker USB-C Hub 7-in-1,"HDMI, USB 3.0, SD/TF card reader, 100W PD charging. Space Grey.",249,Computer Accessories,35,https://images.unsplash.com/photo-1625948515291-69613efd103f
STORAGE001,Samsung T7 Portable SSD 1TB,"USB 3.2 Gen 2, 1050MB/s read speed, password protection, shock-resistant. Titan Grey.",549,Computer Accessories,40,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b
STORAGE002,WD My Passport 5TB,"Portable HDD, USB 3.2, auto backup software, password protection. Black.",599,Computer Accessories,28,https://images.unsplash.com/photo-1597872200969-2b65d56bd16b
